CustomerID,CustomerName,ProductName
1,"Sophia Anderson","Accessory J"
1,"Sophia Anderson","Widget K"
2,"Alexander Chang","Accessory E"
2,"Alexander Chang","Widget A"
3,"Emma Smith","Tool C"
3,"Emma Smith","Tool W"
4,"Lucas Rodriguez","Device N"
5,"Isabella Kim","Accessory O"
6,"Benjamin Patel","Widget F"
7,"Olivia Müller","Device X"
7,"Olivia Müller","Gadget G"
9,"Ava Silva","Device S"
11,"Ethan Lee","Device I"
11,"Ethan Lee","Widget U"
12,"Mia Johnson","Gadget L"
12,"Mia Johnson","Tool BB"
13,"Jacob Nguyen","Device CC"
13,"Jacob Nguyen","Tool M"
16,"Emily Kim","Widget P"
18,"Amelia Chen","Widget Z"
19,"Matthew Schmidt","Gadget AA"
20,"Avery Lefebvre","Gadget B"
22,"Sebastian Costa","Gadget V"
23,"Olivia Jensen","Tool H"
24,James,"Device D"
27,"Grace Murphy","Gadget Q"
28,"Henry Santos","Accessory DD"
28,"Henry Santos","Accessory Y"
28,"Henry Santos","Tool R"
30,"Naveen Kumar","Accessory T"
