EmployeeID,Last_Name,First_Name,Birthday,Join_date,Salary
101,Sophia,Anderson,1990-05-12,2018-03-25,50000
104,Lucas,Rodriguez,1988-11-03,2016-09-02,52000
105,Isabella,Kim,1991-07-08,2018-08-20,100000
106,Benjamin,Patel,1993-12-15,2019-05-05,53000
107,Olivia,Müller,1987-06-21,2017-03-12,48000
108,Liam,Dupont,1990-09-30,2018-02-18,50000
111,Ethan,Lee,1991-10-20,2018-11-05,53000
113,Jacob,Nguyen,1993-04-09,2019-03-18,48000
114,Sophie,Kowalski,1988-12-23,2017-08-10,55000
115,Michael,Hernandez,1992-06-05,2018-05-22,50000
